method,history,epoch,Metric,Estimate
LSTM,37,1,loss,0.999093234539032
LSTM,37,2,loss,0.997955679893494
LSTM,37,3,loss,0.996399223804474
LSTM,37,4,loss,0.994394898414612
LSTM,37,5,loss,0.992278397083282
LSTM,37,6,loss,0.990972995758057
LSTM,37,7,loss,0.987252473831177
LSTM,37,8,loss,0.98427802324295
LSTM,37,9,loss,0.979933977127075
LSTM,37,10,loss,0.976933419704437
LSTM,37,11,loss,0.97207772731781
LSTM,37,12,loss,0.968271195888519
LSTM,38,1,loss,0.999302268028259
LSTM,38,2,loss,0.99788510799408
LSTM,38,3,loss,0.996219158172607
LSTM,38,4,loss,0.994782388210297
LSTM,38,5,loss,0.993524968624115
LSTM,38,6,loss,0.991549253463745
LSTM,38,7,loss,0.990033984184265
LSTM,38,8,loss,0.987804412841797
LSTM,38,9,loss,0.985325217247009
LSTM,38,10,loss,0.982797622680664
LSTM,38,11,loss,0.979310989379883
CNN,18,1,mean_absolute_error,0.962562561035156
CNN,18,2,mean_absolute_error,0.580940186977387
CNN,18,3,mean_absolute_error,0.583955824375153
CNN,18,4,mean_absolute_error,0.561647772789002
CNN,18,5,mean_absolute_error,0.567248702049255
CNN,18,6,mean_absolute_error,0.522241652011871
CNN,18,7,mean_absolute_error,0.632411599159241
CNN,18,8,mean_absolute_error,0.536663949489594
CNN,18,9,mean_absolute_error,0.544310688972473
CNN,18,10,mean_absolute_error,0.53522264957428
CNN,18,11,mean_absolute_error,0.576631307601929
CNN,18,12,mean_absolute_error,0.519911646842957
CNN,18,13,mean_absolute_error,0.636885941028595
CNN,18,14,mean_absolute_error,0.536590874195099
CNN,18,15,mean_absolute_error,0.546514570713043
CNN,19,1,mean_absolute_error,0.953278958797455
CNN,19,2,mean_absolute_error,0.548969447612763
CNN,19,3,mean_absolute_error,0.551483273506165
CNN,19,4,mean_absolute_error,0.547161102294922
CNN,19,5,mean_absolute_error,0.798724889755249
CNN,19,6,mean_absolute_error,0.543198585510254
CNN,19,7,mean_absolute_error,0.548891603946686
CNN,19,8,mean_absolute_error,0.517126262187958
CNN,19,9,mean_absolute_error,0.601053237915039
CNN,19,10,mean_absolute_error,0.525248408317566
CNN,19,11,mean_absolute_error,0.650025248527527
CNN,19,12,mean_absolute_error,0.524700164794922
CNN,19,13,mean_absolute_error,0.632062673568726
CNN,19,14,mean_absolute_error,0.523322880268097
CNN,19,15,mean_absolute_error,0.595405519008637
CNN,19,16,mean_absolute_error,0.52476841211319
CNN,19,17,mean_absolute_error,0.552279472351074
CNN,20,1,mean_absolute_error,0.814139366149902
CNN,20,2,mean_absolute_error,0.535558581352234
CNN,20,3,mean_absolute_error,0.556115448474884
CNN,20,4,mean_absolute_error,0.571929156780243
CNN,20,5,mean_absolute_error,0.524031043052673
CNN,20,6,mean_absolute_error,0.569883465766907
CNN,20,7,mean_absolute_error,0.553873240947723
CNN,20,8,mean_absolute_error,0.544382035732269
CNN,20,9,mean_absolute_error,0.691044807434082
CNN,20,10,mean_absolute_error,0.541039824485779
CNN,20,11,mean_absolute_error,0.536655306816101
CNN,20,12,mean_absolute_error,0.5437371134758
CNN,20,13,mean_absolute_error,0.558375000953674
CNN,20,14,mean_absolute_error,0.522027015686035
CNN,21,1,mean_absolute_error,0.762036144733429
CNN,21,2,mean_absolute_error,0.551397919654846
CNN,21,3,mean_absolute_error,0.53185760974884
CNN,21,4,mean_absolute_error,0.618008732795715
CNN,21,5,mean_absolute_error,0.51853209733963
CNN,21,6,mean_absolute_error,0.59552675485611
CNN,21,7,mean_absolute_error,0.522252798080444
CNN,21,8,mean_absolute_error,0.570195257663727
CNN,21,9,mean_absolute_error,0.532419502735138
CNN,21,10,mean_absolute_error,0.688283801078796
CNN,21,11,mean_absolute_error,0.544643104076386
CNN,21,12,mean_absolute_error,0.542141377925873
CNN,21,13,mean_absolute_error,0.625202834606171
CNN,21,14,mean_absolute_error,0.522613823413849
CNN,22,1,mean_absolute_error,0.960123181343079
CNN,22,2,mean_absolute_error,0.554196238517761
CNN,22,3,mean_absolute_error,0.6377272605896
CNN,22,4,mean_absolute_error,0.52276074886322
CNN,22,5,mean_absolute_error,0.539173901081085
CNN,22,6,mean_absolute_error,0.636667251586914
CNN,22,7,mean_absolute_error,0.522808611392975
CNN,22,8,mean_absolute_error,0.600228309631348
CNN,22,9,mean_absolute_error,0.525955080986023
CNN,22,10,mean_absolute_error,0.579947829246521
CNN,22,11,mean_absolute_error,0.528436660766602
CNN,22,12,mean_absolute_error,0.569224119186401
CNN,22,13,mean_absolute_error,0.52185320854187
CNN,22,14,mean_absolute_error,0.562299072742462
CNN,23,1,mean_absolute_error,0.830849885940552
CNN,23,2,mean_absolute_error,0.536441266536713
CNN,23,3,mean_absolute_error,0.534743905067444
CNN,23,4,mean_absolute_error,0.536719262599945
CNN,23,5,mean_absolute_error,0.571928143501282
CNN,23,6,mean_absolute_error,0.535038948059082
CNN,23,7,mean_absolute_error,0.584981143474579
CNN,23,8,mean_absolute_error,0.522812843322754
CNN,23,9,mean_absolute_error,1.00042748451233
CNN,23,10,mean_absolute_error,0.592293381690979
CNN,23,11,mean_absolute_error,0.537285923957825
CNN,23,12,mean_absolute_error,0.551803886890411
CNN,23,13,mean_absolute_error,0.522492945194244
CNN,24,1,mean_absolute_error,0.823740422725678
CNN,24,2,mean_absolute_error,0.560974895954132
CNN,24,3,mean_absolute_error,0.546888768672943
CNN,24,4,mean_absolute_error,0.545343220233917
CNN,24,5,mean_absolute_error,0.88397091627121
CNN,24,6,mean_absolute_error,0.54970246553421
CNN,24,7,mean_absolute_error,0.524578928947449
CNN,24,8,mean_absolute_error,0.709529578685761
CNN,24,9,mean_absolute_error,0.531067609786987
CNN,24,10,mean_absolute_error,0.68216210603714
CNN,24,11,mean_absolute_error,0.530943393707275
CNN,25,1,mean_absolute_error,0.795115470886231
CNN,25,2,mean_absolute_error,0.539213240146637
CNN,25,3,mean_absolute_error,0.573196589946747
CNN,25,4,mean_absolute_error,0.556893169879913
CNN,25,5,mean_absolute_error,0.523995220661163
CNN,25,6,mean_absolute_error,0.606530547142029
CNN,25,7,mean_absolute_error,0.52160382270813
CNN,25,8,mean_absolute_error,0.8617924451828
CNN,25,9,mean_absolute_error,0.546421468257904
CNN,25,10,mean_absolute_error,0.530448436737061
CNN,25,11,mean_absolute_error,0.551084995269775
CNN,25,12,mean_absolute_error,0.532442688941956
CNN,25,13,mean_absolute_error,0.702378034591675
CNN,25,14,mean_absolute_error,0.538738429546356
CNN,26,1,mean_absolute_error,0.832620441913605
CNN,26,2,mean_absolute_error,0.530281782150269
CNN,26,3,mean_absolute_error,0.536234140396118
CNN,26,4,mean_absolute_error,0.882942914962769
CNN,26,5,mean_absolute_error,0.615518689155579
